N,shots,zz_avg,x_val,fidelity_lb,note
2,1024,0.904296875,0.919921875,0.912109375,tree_baseline
5,1024,0.8154296875,0.703125,0.75927734375,tree_baseline
10,1024,0.7575954861111112,0.484375,0.6209852430555556,tree_baseline
15,1024,0.7149832589285714,0.482421875,0.5987025669642857,tree_baseline
20,1024,0.5054481907894737,0.0859375,0.29569284539473684,tree_baseline
25,1024,0.5457356770833334,0.1015625,0.3236490885416667,tree_baseline
30,1024,0.46511314655172414,0.0859375,0.2755253232758621,tree_baseline
